,Email_ID,Subject,Body,Category,Cleaned_Subject,Cleaned_Body,combined_text
21,22,Get Rich Quick Scheme,Make money fast with our new investment scheme!,Spam,"['get', 'rich', 'quick', 'scheme']","['make', 'money', 'fast', 'with', 'our', 'new', 'investment', 'scheme']",get rich quick scheme make money fast with our new investment scheme
22,23,Meeting Confirmation,Your meeting has been confirmed for next Wednesday.,Important,"['meeting', 'confirmation']","['your', 'meeting', 'has', 'been', 'confirmed', 'for', 'next', 'wednesday']",meeting confirmation your meeting has been confirmed for next wednesday
23,24,Exclusive Deals Just for You,Check out these exclusive deals available today!,Spam,"['exclusive', 'deals', 'just', 'for', 'you']","['check', 'out', 'these', 'exclusive', 'deals', 'available', 'today']",exclusive deals just for you check out these exclusive deals available today
24,25,Monthly Newsletter,Here is our monthly newsletter with updates and news.,Important,"['monthly', 'newsletter']","['here', 'is', 'our', 'monthly', 'newsletter', 'with', 'updates', 'and', 'news']",monthly newsletter here is our monthly newsletter with updates and news
25,26,Work from Home Opportunities,Explore work from home job opportunities with us!,Spam,"['work', 'from', 'home', 'opportunities']","['explore', 'work', 'from', 'home', 'job', 'opportunities', 'with', 'us']",work from home opportunities explore work from home job opportunities with us
26,27,Customer Satisfaction Survey,Please fill out this survey to help us improve our service.,Important,"['customer', 'satisfaction', 'survey']","['please', 'fill', 'out', 'this', 'survey', 'to', 'help', 'us', 'improve', 'our', 'service']",customer satisfaction survey please fill out this survey to help us improve our service
27,28,Limited Time Offer on Insurance,Get a 20% discount on insurance plans for a limited time!,Spam,"['limited', 'time', 'offer', 'on', 'insurance']","['get', 'a', 'discount', 'on', 'insurance', 'plans', 'for', 'a', 'limited', 'time']",limited time offer on insurance get a discount on insurance plans for a limited time
28,29,New Feature Release,We’ve released a new feature on our platform.,Important,"['new', 'feature', 'release']","['we’ve', 'released', 'a', 'new', 'feature', 'on', 'our', 'platform']",new feature release we’ve released a new feature on our platform
29,30,Get a Free Trial,Sign up today to get a free trial of our new software.,Spam,"['get', 'a', 'free', 'trial']","['sign', 'up', 'today', 'to', 'get', 'a', 'free', 'trial', 'of', 'our', 'new', 'software']",get a free trial sign up today to get a free trial of our new software
30,31,Project Deadline Reminder,Reminder: The deadline for the project is approaching.,Important,"['project', 'deadline', 'reminder']","['reminder', 'the', 'deadline', 'for', 'the', 'project', 'is', 'approaching']",project deadline reminder reminder the deadline for the project is approaching
31,32,Special Offer on Subscriptions,Enjoy 50% off on all subscriptions this weekend!,Spam,"['special', 'offer', 'on', 'subscriptions']","['enjoy', 'off', 'on', 'all', 'subscriptions', 'this', 'weekend']",special offer on subscriptions enjoy off on all subscriptions this weekend
32,33,Your Order has Shipped,Your recent order has been shipped and is on its way.,Important,"['your', 'order', 'has', 'shipped']","['your', 'recent', 'order', 'has', 'been', 'shipped', 'and', 'is', 'on', 'its', 'way']",your order has shipped your recent order has been shipped and is on its way
33,34,Big Sale on Home Appliances,Don’t miss our big sale on home appliances!,Spam,"['big', 'sale', 'on', 'home', 'appliances']","['don’t', 'miss', 'our', 'big', 'sale', 'on', 'home', 'appliances']",big sale on home appliances don’t miss our big sale on home appliances
34,35,Quarterly Performance Review,Your quarterly performance review is available.,Important,"['quarterly', 'performance', 'review']","['your', 'quarterly', 'performance', 'review', 'is', 'available']",quarterly performance review your quarterly performance review is available
35,36,Win a Free Laptop,Enter our contest to win a free laptop!,Spam,"['win', 'a', 'free', 'laptop']","['enter', 'our', 'contest', 'to', 'win', 'a', 'free', 'laptop']",win a free laptop enter our contest to win a free laptop
36,37,Webinar Registration Confirmation,Your registration for the webinar has been confirmed.,Important,"['webinar', 'registration', 'confirmation']","['your', 'registration', 'for', 'the', 'webinar', 'has', 'been', 'confirmed']",webinar registration confirmation your registration for the webinar has been confirmed
37,38,Free Sample Offer,Claim your free sample of our new product!,Spam,"['free', 'sample', 'offer']","['claim', 'your', 'free', 'sample', 'of', 'our', 'new', 'product']",free sample offer claim your free sample of our new product
38,39,Appointment Reminder,Reminder: Your appointment is scheduled for tomorrow.,Important,"['appointment', 'reminder']","['reminder', 'your', 'appointment', 'is', 'scheduled', 'for', 'tomorrow']",appointment reminder reminder your appointment is scheduled for tomorrow
39,40,Exclusive Event Invitation,You are invited to an exclusive event next week!,Spam,"['exclusive', 'event', 'invitation']","['you', 'are', 'invited', 'to', 'an', 'exclusive', 'event', 'next', 'week']",exclusive event invitation you are invited to an exclusive event next week
40,41,Your Credit Card Statement,Your latest credit card statement is now available.,Important,"['your', 'credit', 'card', 'statement']","['your', 'latest', 'credit', 'card', 'statement', 'is', 'now', 'available']",your credit card statement your latest credit card statement is now available
41,42,Job Opening: Marketing Manager,We are hiring a Marketing Manager. Apply now!,Spam,"['job', 'opening', 'marketing', 'manager']","['we', 'are', 'hiring', 'a', 'marketing', 'manager', 'apply', 'now']",job opening marketing manager we are hiring a marketing manager apply now
42,43,Company Policy Update,Review the updated company policies on the intranet.,Important,"['company', 'policy', 'update']","['review', 'the', 'updated', 'company', 'policies', 'on', 'the', 'intranet']",company policy update review the updated company policies on the intranet
43,44,Special Promo Code for You,Use this promo code for an extra 15% off your next order!,Spam,"['special', 'promo', 'code', 'for', 'you']","['use', 'this', 'promo', 'code', 'for', 'an', 'extra', 'off', 'your', 'next', 'order']",special promo code for you use this promo code for an extra off your next order
44,45,Upcoming Training Session,Join us for a training session on professional development.,Important,"['upcoming', 'training', 'session']","['join', 'us', 'for', 'a', 'training', 'session', 'on', 'professional', 'development']",upcoming training session join us for a training session on professional development
45,46,Seasonal Discount on Clothing,Enjoy seasonal discounts on all clothing items!,Spam,"['seasonal', 'discount', 'on', 'clothing']","['enjoy', 'seasonal', 'discounts', 'on', 'all', 'clothing', 'items']",seasonal discount on clothing enjoy seasonal discounts on all clothing items
46,47,Feedback on Recent Purchase,Please provide feedback on your recent purchase.,Important,"['feedback', 'on', 'recent', 'purchase']","['please', 'provide', 'feedback', 'on', 'your', 'recent', 'purchase']",feedback on recent purchase please provide feedback on your recent purchase
47,48,Flash Sale Today Only,Today only: Flash sale with up to 70% off!,Spam,"['flash', 'sale', 'today', 'only']","['today', 'only', 'flash', 'sale', 'with', 'up', 'to', 'off']",flash sale today only today only flash sale with up to off
48,49,Your Subscription Renewal Reminder,Your subscription is up for renewal next month.,Important,"['your', 'subscription', 'renewal', 'reminder']","['your', 'subscription', 'is', 'up', 'for', 'renewal', 'next', 'month']",your subscription renewal reminder your subscription is up for renewal next month
49,50,Free Webinar on Investment Tips,Register for our free webinar on investment strategies.,Spam,"['free', 'webinar', 'on', 'investment', 'tips']","['register', 'for', 'our', 'free', 'webinar', 'on', 'investment', 'strategies']",free webinar on investment tips register for our free webinar on investment strategies
50,51,Product Review Request,We’d appreciate your review of our latest product.,Important,"['product', 'review', 'request']","['we’d', 'appreciate', 'your', 'review', 'of', 'our', 'latest', 'product']",product review request we’d appreciate your review of our latest product
51,52,Limited-Time Flash Sale,Our flash sale is ending soon. Shop now!,Spam,"['limitedtime', 'flash', 'sale']","['our', 'flash', 'sale', 'is', 'ending', 'soon', 'shop', 'now']",limitedtime flash sale our flash sale is ending soon shop now
52,53,Your Recent Purchase Invoice,Download your invoice for the recent purchase.,Important,"['your', 'recent', 'purchase', 'invoice']","['download', 'your', 'invoice', 'for', 'the', 'recent', 'purchase']",your recent purchase invoice download your invoice for the recent purchase
53,54,Exclusive VIP Offer,As a VIP customer, enjoy this exclusive offer!,"['exclusive', 'vip', 'offer']","['as', 'a', 'vip', 'customer']",exclusive vip offer as a vip customer
54,55,Team Meeting Agenda,The agenda for tomorrow’s team meeting is attached.,Important,"['team', 'meeting', 'agenda']","['the', 'agenda', 'for', 'tomorrow’s', 'team', 'meeting', 'is', 'attached']",team meeting agenda the agenda for tomorrow’s team meeting is attached
55,56,Special Discounts for Subscribers,Check out these special discounts for our subscribers.,Spam,"['special', 'discounts', 'for', 'subscribers']","['check', 'out', 'these', 'special', 'discounts', 'for', 'our', 'subscribers']",special discounts for subscribers check out these special discounts for our subscribers
56,57,Account Security Alert,We detected a possible security issue with your account.,Important,"['account', 'security', 'alert']","['we', 'detected', 'a', 'possible', 'security', 'issue', 'with', 'your', 'account']",account security alert we detected a possible security issue with your account
57,58,Win a Free Vacation Package,Enter now for a chance to win a free vacation package!,Spam,"['win', 'a', 'free', 'vacation', 'package']","['enter', 'now', 'for', 'a', 'chance', 'to', 'win', 'a', 'free', 'vacation', 'package']",win a free vacation package enter now for a chance to win a free vacation package
58,59,Monthly Account Summary,Your monthly account summary is available.,Important,"['monthly', 'account', 'summary']","['your', 'monthly', 'account', 'summary', 'is', 'available']",monthly account summary your monthly account summary is available
59,60,New Product Launch Announcement,We are excited to announce our new product launch!,Spam,"['new', 'product', 'launch', 'announcement']","['we', 'are', 'excited', 'to', 'announce', 'our', 'new', 'product', 'launch']",new product launch announcement we are excited to announce our new product launch
60,51,Product Review Request,We’d appreciate your review of our latest product.,Important,"['product', 'review', 'request']","['we’d', 'appreciate', 'your', 'review', 'of', 'our', 'latest', 'product']",product review request we’d appreciate your review of our latest product
61,52,Limited-Time Flash Sale,Our flash sale is ending soon. Shop now!,Spam,"['limitedtime', 'flash', 'sale']","['our', 'flash', 'sale', 'is', 'ending', 'soon', 'shop', 'now']",limitedtime flash sale our flash sale is ending soon shop now
62,53,Your Recent Purchase Invoice,Download your invoice for the recent purchase.,Important,"['your', 'recent', 'purchase', 'invoice']","['download', 'your', 'invoice', 'for', 'the', 'recent', 'purchase']",your recent purchase invoice download your invoice for the recent purchase
63,54,Exclusive VIP Offer,As a VIP customer, enjoy this exclusive offer!,"['exclusive', 'vip', 'offer']","['as', 'a', 'vip', 'customer']",exclusive vip offer as a vip customer
64,55,Team Meeting Agenda,The agenda for tomorrow’s team meeting is attached.,Important,"['team', 'meeting', 'agenda']","['the', 'agenda', 'for', 'tomorrow’s', 'team', 'meeting', 'is', 'attached']",team meeting agenda the agenda for tomorrow’s team meeting is attached
65,56,Special Discounts for Subscribers,Check out these special discounts for our subscribers.,Spam,"['special', 'discounts', 'for', 'subscribers']","['check', 'out', 'these', 'special', 'discounts', 'for', 'our', 'subscribers']",special discounts for subscribers check out these special discounts for our subscribers
66,57,Account Security Alert,We detected a possible security issue with your account.,Important,"['account', 'security', 'alert']","['we', 'detected', 'a', 'possible', 'security', 'issue', 'with', 'your', 'account']",account security alert we detected a possible security issue with your account
67,58,Win a Free Vacation Package,Enter now for a chance to win a free vacation package!,Spam,"['win', 'a', 'free', 'vacation', 'package']","['enter', 'now', 'for', 'a', 'chance', 'to', 'win', 'a', 'free', 'vacation', 'package']",win a free vacation package enter now for a chance to win a free vacation package
68,59,Monthly Account Summary,Your monthly account summary is available.,Important,"['monthly', 'account', 'summary']","['your', 'monthly', 'account', 'summary', 'is', 'available']",monthly account summary your monthly account summary is available
69,60,New Product Launch Announcement,We are excited to announce our new product launch!,Spam,"['new', 'product', 'launch', 'announcement']","['we', 'are', 'excited', 'to', 'announce', 'our', 'new', 'product', 'launch']",new product launch announcement we are excited to announce our new product launch
70,61,Important Update on Your Subscription,We’ve updated the terms of your subscription.,Important,"['important', 'update', 'on', 'your', 'subscription']","['we’ve', 'updated', 'the', 'terms', 'of', 'your', 'subscription']",important update on your subscription we’ve updated the terms of your subscription
71,62,Free Trial Offer,Start your free trial today and experience our premium service.,Spam,"['free', 'trial', 'offer']","['start', 'your', 'free', 'trial', 'today', 'and', 'experience', 'our', 'premium', 'service']",free trial offer start your free trial today and experience our premium service
72,63,Your Recent Support Ticket,Your support ticket has been resolved. Thank you for your patience.,Important,"['your', 'recent', 'support', 'ticket']","['your', 'support', 'ticket', 'has', 'been', 'resolved', 'thank', 'you', 'for', 'your', 'patience']",your recent support ticket your support ticket has been resolved thank you for your patience
73,64,Exclusive Online Sale,Shop our exclusive online sale and save up to 50%!,Spam,"['exclusive', 'online', 'sale']","['shop', 'our', 'exclusive', 'online', 'sale', 'and', 'save', 'up', 'to']",exclusive online sale shop our exclusive online sale and save up to
74,65,Upcoming Project Meeting,Please join the project meeting scheduled for next week.,Important,"['upcoming', 'project', 'meeting']","['please', 'join', 'the', 'project', 'meeting', 'scheduled', 'for', 'next', 'week']",upcoming project meeting please join the project meeting scheduled for next week
75,66,Special Discount for New Users,Get 30% off on your first purchase with us!,Spam,"['special', 'discount', 'for', 'new', 'users']","['get', 'off', 'on', 'your', 'first', 'purchase', 'with', 'us']",special discount for new users get off on your first purchase with us
76,67,Annual Survey Invitation,We invite you to participate in our annual survey.,Important,"['annual', 'survey', 'invitation']","['we', 'invite', 'you', 'to', 'participate', 'in', 'our', 'annual', 'survey']",annual survey invitation we invite you to participate in our annual survey
77,68,Limited Time Promotional Offer,Act now to take advantage of our limited-time promotional offer!,Spam,"['limited', 'time', 'promotional', 'offer']","['act', 'now', 'to', 'take', 'advantage', 'of', 'our', 'limitedtime', 'promotional', 'offer']",limited time promotional offer act now to take advantage of our limitedtime promotional offer
78,69,Client Follow-Up,Following up on our recent client meeting. Please review the attached document.,Important,"['client', 'followup']","['following', 'up', 'on', 'our', 'recent', 'client', 'meeting', 'please', 'review', 'the', 'attached', 'document']",client followup following up on our recent client meeting please review the attached document
79,70,Big Sale on Electronics,Check out our big sale on all electronics this weekend!,Spam,"['big', 'sale', 'on', 'electronics']","['check', 'out', 'our', 'big', 'sale', 'on', 'all', 'electronics', 'this', 'weekend']",big sale on electronics check out our big sale on all electronics this weekend
80,71,Your Account Update,Your account has been updated successfully.,Important,"['your', 'account', 'update']","['your', 'account', 'has', 'been', 'updated', 'successfully']",your account update your account has been updated successfully
81,72,Free Gift with Purchase,Get a free gift with your purchase today!,Spam,"['free', 'gift', 'with', 'purchase']","['get', 'a', 'free', 'gift', 'with', 'your', 'purchase', 'today']",free gift with purchase get a free gift with your purchase today
82,73,Monthly Newsletter Subscription,Thank you for subscribing to our monthly newsletter.,Important,"['monthly', 'newsletter', 'subscription']","['thank', 'you', 'for', 'subscribing', 'to', 'our', 'monthly', 'newsletter']",monthly newsletter subscription thank you for subscribing to our monthly newsletter
83,74,Special Offer: Buy One Get One Free,Take advantage of our buy one, get one free offer!,"['special', 'offer', 'buy', 'one', 'get', 'one', 'free']","['take', 'advantage', 'of', 'our', 'buy', 'one']",special offer buy one get one free take advantage of our buy one
84,75,Job Application Status Update,We have reviewed your application and will contact you soon.,Important,"['job', 'application', 'status', 'update']","['we', 'have', 'reviewed', 'your', 'application', 'and', 'will', 'contact', 'you', 'soon']",job application status update we have reviewed your application and will contact you soon
85,76,Exclusive Offer for Loyal Customers,Enjoy this special offer as a thank you for being a loyal customer!,Spam,"['exclusive', 'offer', 'for', 'loyal', 'customers']","['enjoy', 'this', 'special', 'offer', 'as', 'a', 'thank', 'you', 'for', 'being', 'a', 'loyal', 'customer']",exclusive offer for loyal customers enjoy this special offer as a thank you for being a loyal customer
86,77,Upcoming Webinar on Data Science,Join our upcoming webinar on the latest trends in data science.,Important,"['upcoming', 'webinar', 'on', 'data', 'science']","['join', 'our', 'upcoming', 'webinar', 'on', 'the', 'latest', 'trends', 'in', 'data', 'science']",upcoming webinar on data science join our upcoming webinar on the latest trends in data science
87,78,Win a Free Vacation Package,Enter for a chance to win a free vacation package!,Spam,"['win', 'a', 'free', 'vacation', 'package']","['enter', 'for', 'a', 'chance', 'to', 'win', 'a', 'free', 'vacation', 'package']",win a free vacation package enter for a chance to win a free vacation package
88,79,Reminder: Payment Due Soon,This is a reminder that your payment is due soon.,Important,"['reminder', 'payment', 'due', 'soon']","['this', 'is', 'a', 'reminder', 'that', 'your', 'payment', 'is', 'due', 'soon']",reminder payment due soon this is a reminder that your payment is due soon
89,80,Special Discount on All Items,Get a special discount on all items in our store today!,Spam,"['special', 'discount', 'on', 'all', 'items']","['get', 'a', 'special', 'discount', 'on', 'all', 'items', 'in', 'our', 'store', 'today']",special discount on all items get a special discount on all items in our store today
90,81,Your New Account Information,Here are the details for your new account.,Important,"['your', 'new', 'account', 'information']","['here', 'are', 'the', 'details', 'for', 'your', 'new', 'account']",your new account information here are the details for your new account
91,82,Limited-Time Offer on Software,Purchase our software now and save 25%!,Spam,"['limitedtime', 'offer', 'on', 'software']","['purchase', 'our', 'software', 'now', 'and', 'save']",limitedtime offer on software purchase our software now and save
92,83,Your Recent Purchase Confirmation,Thank you for your recent purchase. Here is the confirmation.,Important,"['your', 'recent', 'purchase', 'confirmation']","['thank', 'you', 'for', 'your', 'recent', 'purchase', 'here', 'is', 'the', 'confirmation']",your recent purchase confirmation thank you for your recent purchase here is the confirmation
93,84,Exclusive Online Event Invitation,You are invited to an exclusive online event next week!,Spam,"['exclusive', 'online', 'event', 'invitation']","['you', 'are', 'invited', 'to', 'an', 'exclusive', 'online', 'event', 'next', 'week']",exclusive online event invitation you are invited to an exclusive online event next week
94,85,Account Security Update,We have updated the security settings for your account.,Important,"['account', 'security', 'update']","['we', 'have', 'updated', 'the', 'security', 'settings', 'for', 'your', 'account']",account security update we have updated the security settings for your account
95,86,Special Promotion on Apparel,Save up to 40% on all apparel items during our special promotion!,Spam,"['special', 'promotion', 'on', 'apparel']","['save', 'up', 'to', 'on', 'all', 'apparel', 'items', 'during', 'our', 'special', 'promotion']",special promotion on apparel save up to on all apparel items during our special promotion
96,87,Client Feedback Request,We would appreciate your feedback on our recent service.,Important,"['client', 'feedback', 'request']","['we', 'would', 'appreciate', 'your', 'feedback', 'on', 'our', 'recent', 'service']",client feedback request we would appreciate your feedback on our recent service
97,88,Flash Sale on Electronics,Don’t miss our flash sale on electronics today only!,Spam,"['flash', 'sale', 'on', 'electronics']","['don’t', 'miss', 'our', 'flash', 'sale', 'on', 'electronics', 'today', 'only']",flash sale on electronics don’t miss our flash sale on electronics today only
98,89,Your Subscription Confirmation,Your subscription has been confirmed. Thank you!,Important,"['your', 'subscription', 'confirmation']","['your', 'subscription', 'has', 'been', 'confirmed', 'thank', 'you']",your subscription confirmation your subscription has been confirmed thank you
99,90,New Product Offer,Discover our new product and enjoy a special introductory offer!,Spam,"['new', 'product', 'offer']","['discover', 'our', 'new', 'product', 'and', 'enjoy', 'a', 'special', 'introductory', 'offer']",new product offer discover our new product and enjoy a special introductory offer
100,91,Project Status Update,Here is the latest update on the project status.,Important,"['project', 'status', 'update']","['here', 'is', 'the', 'latest', 'update', 'on', 'the', 'project', 'status']",project status update here is the latest update on the project status
101,92,Limited-Time Offer on Membership,Join our membership program now and receive a discount!,Spam,"['limitedtime', 'offer', 'on', 'membership']","['join', 'our', 'membership', 'program', 'now', 'and', 'receive', 'a', 'discount']",limitedtime offer on membership join our membership program now and receive a discount
102,93,Your Order is on the Way,Your order is on its way and will arrive soon.,Important,"['your', 'order', 'is', 'on', 'the', 'way']","['your', 'order', 'is', 'on', 'its', 'way', 'and', 'will', 'arrive', 'soon']",your order is on the way your order is on its way and will arrive soon
103,94,Special Discount for Newsletter Subscribers,Check out the special discount just for our newsletter subscribers!,Spam,"['special', 'discount', 'for', 'newsletter', 'subscribers']","['check', 'out', 'the', 'special', 'discount', 'just', 'for', 'our', 'newsletter', 'subscribers']",special discount for newsletter subscribers check out the special discount just for our newsletter subscribers
104,95,Appointment Confirmation,Your appointment has been confirmed for next Tuesday.,Important,"['appointment', 'confirmation']","['your', 'appointment', 'has', 'been', 'confirmed', 'for', 'next', 'tuesday']",appointment confirmation your appointment has been confirmed for next tuesday
105,96,Exclusive Sale Event,Join our exclusive sale event and save up to 60%!,Spam,"['exclusive', 'sale', 'event']","['join', 'our', 'exclusive', 'sale', 'event', 'and', 'save', 'up', 'to']",exclusive sale event join our exclusive sale event and save up to
106,97,Account Activity Alert,We have detected unusual activity on your account.,Important,"['account', 'activity', 'alert']","['we', 'have', 'detected', 'unusual', 'activity', 'on', 'your', 'account']",account activity alert we have detected unusual activity on your account
107,98,Free Sample of New Product,Get a free sample of our new product by signing up today!,Spam,"['free', 'sample', 'of', 'new', 'product']","['get', 'a', 'free', 'sample', 'of', 'our', 'new', 'product', 'by', 'signing', 'up', 'today']",free sample of new product get a free sample of our new product by signing up today
108,99,Monthly Summary Report,Your monthly summary report is now available.,Important,"['monthly', 'summary', 'report']","['your', 'monthly', 'summary', 'report', 'is', 'now', 'available']",monthly summary report your monthly summary report is now available
109,100,Flash Sale Ends Soon,Our flash sale ends soon. Shop now before it’s too late!,Spam,"['flash', 'sale', 'ends', 'soon']","['our', 'flash', 'sale', 'ends', 'soon', 'shop', 'now', 'before', 'it’s', 'too', 'late']",flash sale ends soon our flash sale ends soon shop now before it’s too late
110,101,Your Purchase Confirmation,Thank you for your recent purchase. Here is your confirmation.,Important,"['your', 'purchase', 'confirmation']","['thank', 'you', 'for', 'your', 'recent', 'purchase', 'here', 'is', 'your', 'confirmation']",your purchase confirmation thank you for your recent purchase here is your confirmation
111,102,Exclusive Member Discounts,As a valued member, enjoy these exclusive discounts!,"['exclusive', 'member', 'discounts']","['as', 'a', 'valued', 'member']",exclusive member discounts as a valued member
112,103,Upcoming Workshop Reminder,Reminder: The workshop is scheduled for this Friday.,Important,"['upcoming', 'workshop', 'reminder']","['reminder', 'the', 'workshop', 'is', 'scheduled', 'for', 'this', 'friday']",upcoming workshop reminder reminder the workshop is scheduled for this friday
113,104,Flash Sale Ends Today,Last chance to take advantage of our flash sale!,Spam,"['flash', 'sale', 'ends', 'today']","['last', 'chance', 'to', 'take', 'advantage', 'of', 'our', 'flash', 'sale']",flash sale ends today last chance to take advantage of our flash sale
114,105,New Feature Announcement,We’ve just released a new feature on our platform.,Important,"['new', 'feature', 'announcement']","['we’ve', 'just', 'released', 'a', 'new', 'feature', 'on', 'our', 'platform']",new feature announcement we’ve just released a new feature on our platform
115,106,Special Offer: 20% Off,Get 20% off on your next purchase with this code.,Spam,"['special', 'offer', 'off']","['get', 'off', 'on', 'your', 'next', 'purchase', 'with', 'this', 'code']",special offer off get off on your next purchase with this code
116,107,Job Interview Scheduled,Your job interview has been scheduled for next week.,Important,"['job', 'interview', 'scheduled']","['your', 'job', 'interview', 'has', 'been', 'scheduled', 'for', 'next', 'week']",job interview scheduled your job interview has been scheduled for next week
117,108,Limited Time Only: Free Shipping,Enjoy free shipping on all orders placed today!,Spam,"['limited', 'time', 'only', 'free', 'shipping']","['enjoy', 'free', 'shipping', 'on', 'all', 'orders', 'placed', 'today']",limited time only free shipping enjoy free shipping on all orders placed today
118,109,Monthly Report Ready,The monthly report is ready for your review.,Important,"['monthly', 'report', 'ready']","['the', 'monthly', 'report', 'is', 'ready', 'for', 'your', 'review']",monthly report ready the monthly report is ready for your review
119,110,Exclusive Online Deal,Shop now and save with our exclusive online deal!,Spam,"['exclusive', 'online', 'deal']","['shop', 'now', 'and', 'save', 'with', 'our', 'exclusive', 'online', 'deal']",exclusive online deal shop now and save with our exclusive online deal
120,111,Your Account Has Been Updated,Your account information has been updated successfully.,Important,"['your', 'account', 'has', 'been', 'updated']","['your', 'account', 'information', 'has', 'been', 'updated', 'successfully']",your account has been updated your account information has been updated successfully
121,112,Win a Gift Card,Enter our contest for a chance to win a $50 gift card!,Spam,"['win', 'a', 'gift', 'card']","['enter', 'our', 'contest', 'for', 'a', 'chance', 'to', 'win', 'a', 'gift', 'card']",win a gift card enter our contest for a chance to win a gift card
122,113,Training Session Confirmation,Your registration for the training session is confirmed.,Important,"['training', 'session', 'confirmation']","['your', 'registration', 'for', 'the', 'training', 'session', 'is', 'confirmed']",training session confirmation your registration for the training session is confirmed
